58452,all,46.38_11.86
36132,all,45.79_85.94
34092,all,43.65_83.86
62772,all,44.68_16.89
9597,all,41.04_17.7
40452,all,44.87_95.89
34332,all,45.95_10.12
68808,all,45.6_11.18
126168,all,41.53_15.5
40652,all,35.8_93.34
15807,all,47.48_11.42
42852,all,47.51_11.4
40812,all,41.33_83.5
15837,all,46.7_91.77
14337,all,43.25_93.52
11277,all,22.95_31.85
63612,all,32.35_80.54
45252,all,46.3_15.76
55532,all,42.07_17.83
148624,all,42.51_11.59
10827,all,47.71_91.51
33132,all,45.72_11.47
14997,all,44.35_11.18
60132,all,40.04_86.04
45852,all,43.76_87.3
43932,all,46.2_17.62
92313,all,41.96_76.78
130713,all,37.56_74.85
92073,all,38.55_79.53
60437,all,36.02_80.37
58437,all,45.07_16.31
42357,all,40.79_17.75
65157,all,21.55_33.72
54957,all,17.76_8.97
34797,all,15.72_9.31
55557,all,42.18_86.83
35277,all,21.08_34.07
37397,all,47.75_17.86
71883,all,43.81_89.66
69003,all,36.2_76.96
155734,all,10.8_47.42
110763,all,37.26_78.36
78363,all,45.39_80.13
88428,all,47.23_92.57
50382,all,44.52_90.35
40182,all,37.47_75.48
101148,all,21.28_35.48
58782,all,44.86_16.21
34302,all,43.73_92.54
24335,all,43.23_11.93
50742,all,45.28_88.69
40622,all,40.92_10.98
48942,all,40.53_92.99
126588,all,40.79_11.94
47262,all,44.68_11.41
82428,all,42.73_11.13
49422,all,43.17_95.75
70188,all,44.54_86.86
79068,all,45.32_11.68
74988,all,37.65_75.36
53982,all,42.22_87.45
28055,all,43.78_16.4
99948,all,42.51_81.39
47982,all,36.22_76.06
92253,all,40.25_11.06
77853,all,47.69_89.94
90333,all,42.12_82.55
91053,all,43.26_17.6
107613,all,21.45_30.84
99933,all,33.4_89.86
40127,all,36.14_80.06
72078,all,41.22_90.54
38127,all,46.63_93.75
54687,all,42.56_91.05
93438,all,11.22_47.0
137884,all,45.93_11.57
38727,all,41.23_17.17
47127,all,46.82_93.9
99678,all,39.26_74.81
